Candidate,Party,State,District,Incumbent,Winner,Percentage of Vote,Raised,Spent,Funds Remaining
Matt Gaetz,(R),Florida,District 01 ,True,True,64.6,5946646,4482782,1605826
Phil Ehr,(D),Florida,District 01 ,False,False,34.0,2025099,1900451,124648
Bert Oram,(I),Florida,District 01 ,False,False,1.4,8108,7070,1039
Neal Dunn,(R),Florida,District 02 ,True,True,98.0,653488,637580,402063
Kristy Thripp,(I),Florida,District 02 ,False,False,,145,145,0
Kat Cammack,(R),Florida,District 03 ,False,True,57.1,1122188,1090334,31853
Adam Christensen,(D),Florida,District 03 ,False,False,42.9,216021,219108,43481
John Rutherford,(R),Florida,District 04 ,True,True,61.1,1024912,1283701,106937
Donna Deegan,(D),Florida,District 04 ,False,False,38.9,1013157,1013157,0
Al Lawson,(D),Florida,District 05 ,True,True,65.1,848498,695779,167392
Gary Adler,(R),Florida,District 05 ,False,False,34.9,146909,146909,0
Michael Waltz,(R),Florida,District 06 ,True,True,60.6,2549667,1716768,884460
Clint Curtis,(D),Florida,District 06 ,False,False,39.4,24310,22251,12647
Gerry Nolan,(I),Florida,District 06 ,False,False,,4467,5256,-789
Stephanie Murphy,(D),Florida,District 07 ,True,True,55.3,3124692,1798549,1412017
Leo Valentin,(R),Florida,District 07 ,False,False,43.2,1045426,1031316,14110
Bill Garlington,(I),Florida,District 07 ,False,False,1.4,11000,0,11000
Bill Posey,(R),Florida,District 08 ,True,True,61.4,985268,1121834,169964
James Kennedy,(D),Florida,District 08 ,False,False,38.6,138568,138790,836
Darren Soto,(D),Florida,District 09 ,True,True,56.0,1111750,945868,172401
William Olson,(R),Florida,District 09 ,False,False,44.0,404406,401088,3318
Val Demings,(D),Florida,District 10 ,True,True,63.6,1876047,1191020,771422
Vennia Francois,(R),Florida,District 10 ,False,False,36.4,335480,332852,9289
Kristofer Steven Lawson,(I),Florida,District 10 ,False,False,,47,47,0
Daniel Webster,(R),Florida,District 11 ,True,True,66.7,691261,586965,210702
Dana Cottrell,(D),Florida,District 11 ,False,False,33.3,62658,62380,0
Gus Bilirakis,(R),Florida,District 12 ,True,True,62.9,1604137,1548634,75110
Kim Walker,(D),Florida,District 12 ,False,False,37.1,42802,33544,9258
Charlie Crist,(D),Florida,District 13 ,True,True,53.0,2720646,3980695,419008
Anna Paulina Luna,(R),Florida,District 13 ,False,False,47.0,3302944,3262236,40708
Kathy Castor,(D),Florida,District 14 ,True,True,60.3,884651,1201653,423402
Christine Quinn,(R),Florida,District 14 ,False,False,39.7,242144,241187,958
Alan Cohn,(D),Florida,District 15 ,False,False,44.6,2333053,2300197,32856
Scott Franklin,(R),Florida,District 15 ,False,True,55.4,1663898,1638417,25481
Vernon Buchanan,(R),Florida,District 16 ,True,True,55.5,3094611,3100766,73085
Margaret Good,(D),Florida,District 16 ,False,False,44.5,3411924,3407845,4080
Greg Steube,(R),Florida,District 17 ,True,True,64.6,759908,621200,323776
Allen Ellison,(D),Florida,District 17 ,False,False,34.1,83481,78243,6156
Brian Mast,(R),Florida,District 18 ,True,True,56.4,6128177,5301307,994362
Pam Keith,(D),Florida,District 18 ,False,False,41.5,1639873,1632736,7137
Byron Donalds,(R),Florida,District 19 ,False,True,61.3,3219579,2738685,480894
Cindy Banyai,(D),Florida,District 19 ,False,False,38.7,214750,203430,11320
Alcee Hastings,(D),Florida,District 20 ,True,True,78.7,607649,543316,149865
Greg Musselwhite,(R),Florida,District 20 ,False,False,21.3,28955,27538,1418
Lois Frankel,(D),Florida,District 21 ,True,True,59.0,1534882,1309786,1192171
Laura Loomer,(R),Florida,District 21 ,False,False,39.1,2271604,2240689,30915
Charleston Malkemus,(I),Florida,District 21 ,False,False,1.9,28928,28636,292
Ted Deutch,(D),Florida,District 22 ,True,True,58.6,1364438,1265494,459816
Jim Pruden,(R),Florida,District 22 ,False,False,41.4,278416,278416,0
Debbie Wasserman Schultz,(D),Florida,District 23 ,True,True,58.2,2191922,1979903,616233
Carla Spalding,(R),Florida,District 23 ,False,False,41.8,919579,903561,16018
Frederica Wilson,(D),Florida,District 24 ,True,True,75.6,412592,321019,420585
Lavern Spicer,(R),Florida,District 24 ,False,False,20.4,34973,34909,64
Christine Olivo,(I),Florida,District 24 ,False,False,4.0,31646,32898,-956
Mario Diaz-Balart,(R),Florida,District 25 ,True,True,100.0,1590134,804054,933244
Debbie Mucarsel-Powell,(D),Florida,District 26 ,True,False,48.3,6793521,6822740,10598
Carlos Gimenez,(R),Florida,District 26 ,False,True,51.7,2226559,2187389,39171
Donna Shalala,(D),Florida,District 27 ,True,False,48.6,3842907,3735966,169728
Maria Salazar,(R),Florida,District 27 ,False,True,51.4,3654190,3645814,21258
Frank Polo,(I),Florida,District 27 ,False,False,,4606,4662,-56
Buddy Carter,(R),Georgia,District 01 ,True,True,58.4,2315487,1734754,1705925
Joyce Griggs,(D),Georgia,District 01 ,False,False,41.7,130043,125000,5043
Sanford Bishop,(D),Georgia,District 02 ,True,True,59.1,1540683,1440571,192528
Don Cole,(R),Georgia,District 02 ,False,False,40.9,164274,162522,1752
Drew Ferguson,(R),Georgia,District 03 ,True,True,65.0,2374212,2150911,338087
Val Almonord,(D),Georgia,District 03 ,False,False,35.0,35762,31946,14858
Hank Johnson,(D),Georgia,District 04 ,True,True,80.1,628303,490360,182400
Johsira C. Cruz,(R),Georgia,District 04 ,False,False,19.9,12954,23146,-3100
Lucy McBath,(D),Georgia,District 06 ,True,True,54.6,8507298,8586054,139929
Karen Handel,(R),Georgia,District 06 ,False,False,45.4,3026243,3072932,41001
Carolyn Bourdeaux,(D),Georgia,District 07 ,False,True,54.4,5133244,5161230,113948
Richard McCormick,(R),Georgia,District 07 ,False,False,48.6,2595446,2563724,25914
Austin Scott,(R),Georgia,District 08 ,True,True,64.5,821745,716159,666530
Jimmy Cooper,(3),Georgia,District 08 ,False,False,,8542,8528,15
Lindsay Holliday,(D),Georgia,District 08 ,False,False,35.5,7480,5220,210
Andrew Clyde,(R),Georgia,District 09 ,False,True,78.6,1569425,1561316,8108
Devin Pandy,(D),Georgia,District 09 ,False,False,21.4,84272,84623,-1279
Jody Hice,(R),Georgia,District 10 ,True,True,62.3,595947,457648,249916
Tabitha Johnson-Green,(D),Georgia,District 10 ,False,False,37.7,14808,12214,-8
Barry Loudermilk,(R),Georgia,District 11 ,True,True,60.4,877767,700851,372832
Dana Barrett,(D),Georgia,District 11 ,False,False,39.6,404625,394977,9648
Richard W Allen,(R),Georgia,District 12 ,True,True,58.4,1228970,662818,646909
Liz Johnson,(D),Georgia,District 12 ,False,False,41.6,72061,72061,0
David Scott,(D),Georgia,District 13 ,True,True,77.4,1209614,1131746,453846
Becky Hites,(R),Georgia,District 13 ,False,False,22.6,63509,62935,574
Martin Cowen,(L),Georgia,District 13 ,False,False,,13460,13464,80
Marjorie Taylor Greene,(R),Georgia,District 14 ,False,True,74.8,2596914,2237599,359316
Ed Case,(D),Hawaii,District 01 ,True,False,64.7,508249,472569,116701
Ron Curtis,(R),Hawaii,District 01 ,False,False,25.1,12538,12647,-109
Kai Kahele,(D),Hawaii,District 02 ,False,True,57.9,1235523,1039637,195886
Joe Akana,(R),Hawaii,District 02 ,False,False,28.3,54534,55344,-810
Jonathan Hoomanawanui,(3),Hawaii,District 02 ,False,False,2.2,1883,1522,585
Russ Fulcher,(R),Idaho,District 01 ,True,True,67.8,575485,508457,102831
Rudy Soto,(D),Idaho,District 01 ,False,False,28.7,302902,302902,0
Mike Simpson,(R),Idaho,District 02 ,True,True,64.1,1008847,1099604,176314
Aaron Swisher,(D),Idaho,District 02 ,False,False,31.7,70674,70268,7851
Bobby Rush,(D),Illinois,District 01 ,True,True,73.8,541435,496454,111621
Philanise White,(R),Illinois,District 01 ,False,False,26.2,6289,5048,928
Robin Kelly,(D),Illinois,District 02 ,True,True,78.8,1634783,1108137,1014413
Marie Newman,(D),Illinois,District 03 ,False,True,56.4,2802093,2699323,102841
Mike Fricilone,(R),Illinois,District 03 ,False,False,43.6,128458,127980,478
Jesus Garcia,(D),Illinois,District 04 ,True,True,16.0,822846,711159,126757
Jesus Solorio Jr,(R),Illinois,District 04 ,False,False,84.0,2065,843,1129
Mike Quigley,(D),Illinois,District 05 ,True,True,70.8,1171507,926655,1022348
Sean Casten,(D),Illinois,District 06 ,True,True,52.8,5582179,5313570,346138
Jeanne Ives,(R),Illinois,District 06 ,False,False,45.4,3157771,3135464,22307
Bill Redpath,(L),Illinois,District 06 ,False,False,1.7,9837,9837,0
Danny K Davis,(D),Illinois,District 07 ,True,True,80.4,544690,505506,243172
Tracy Jennings,(3),Illinois,District 07 ,False,False,6.2,65283,65283,0
Raja Krishnamoorthi,(D),Illinois,District 08 ,True,True,73.2,6358878,2207703,8427847
Jan Schakowsky,(D),Illinois,District 09 ,True,True,71.0,1834801,1514838,749054
Sargis Sangari,(R),Illinois,District 09 ,False,False,29.0,35364,34715,-3410
Brad Schneider,(D),Illinois,District 10 ,True,True,63.8,3459512,2873333,1873763
Valerie Ramirez Mukherjee,(R),Illinois,District 10 ,False,False,36.2,130225,64764,65461
Bill Foster,(D),Illinois,District 11 ,True,True,63.3,2381354,1823906,3736201
Rick Laib,(R),Illinois,District 11 ,False,False,36.7,20343,20064,279
Mike Bost,(R),Illinois,District 12 ,True,True,60.6,1918041,1509573,413789
Ray Lenzi,(D),Illinois,District 12 ,False,False,39.4,161324,104809,57903
Rodney Davis,(R),Illinois,District 13 ,True,True,54.4,4943459,4822600,140436
Betsy Dirksen Londrigan,(D),Illinois,District 13 ,False,False,45.6,5297007,5281880,15895
Lauren A Underwood,(D),Illinois,District 14 ,True,True,50.7,7803579,7301503,537898
Jim Oberweis,(R),Illinois,District 14 ,False,False,49.3,2438857,2348798,90059
Mary Miller,(R),Illinois,District 15 ,False,True,73.5,689057,570356,118701
Erika Weaver,(D),Illinois,District 15 ,False,False,26.5,58689,23349,-2772
Adam Kinzinger,(R),Illinois,District 16 ,True,True,64.8,2105736,1588550,1523650
Dani Brzozowski,(D),Illinois,District 16 ,False,False,35.2,459344,376167,-314
Cheri Bustos,(D),Illinois,District 17 ,True,True,52.0,4975192,6391009,918624
Esther Joy King,(R),Illinois,District 17 ,False,False,48.0,2032878,2030587,2292
Darin LaHood,(R),Illinois,District 18 ,True,True,70.5,3248113,1749128,3090571
Frank Mrvan Jr,(D),Indiana,District 01 ,False,True,56.6,578635,464407,114228
Mark Leyva,(R),Indiana,District 01 ,False,False,40.4,16551,15343,1208
Jackie Walorski,(R),Indiana,District 02 ,True,True,61.5,2383467,1698202,803297
Pat Hackett,(D),Indiana,District 02 ,False,False,38.5,881888,867301,15785
Jim Banks,(R),Indiana,District 03 ,True,True,67.8,1202509,769591,444427
Chip Coldiron,(D),Indiana,District 03 ,False,False,32.2,94056,89883,2119
Jim Baird,(R),Indiana,District 04 ,True,True,66.6,327727,190158,247371
Joe Mackey,(D),Indiana,District 04 ,False,False,33.4,44585,43213,1590
Christina Hale,(D),Indiana,District 05 ,False,False,45.9,4010368,3998905,11464
Victoria Spartz,(R),Indiana,District 05 ,False,True,50.0,3119328,3010203,109124
Greg Pence,(R),Indiana,District 06 ,True,True,68.7,3114448,2804148,510827
Jeannine Lee Lake,(D),Indiana,District 06 ,False,False,27.7,143089,145315,-2227
Andre Carson,(D),Indiana,District 07 ,True,True,62.4,1011635,873962,988170
Susan Marie Smith,(R),Indiana,District 07 ,False,False,37.6,62905,59843,1857
Larry Bucshon,(R),Indiana,District 08 ,True,True,66.9,1051336,1078646,206920
Thomasina Marsili,(D),Indiana,District 08 ,False,False,29.8,68734,68480,254
Trey Hollingsworth,(R),Indiana,District 09 ,True,True,60.9,1166754,501136,672944
Andy Ruff,(D),Indiana,District 09 ,False,False,34.8,148263,134906,13357
Tonya Millis,(L),Indiana,District 09 ,False,False,4.3,10224,10041,59
Abby Finkenauer,(D),Iowa,District 01 ,True,False,48.7,5901441,5875405,55019
Ashley Hinson,(R),Iowa,District 01 ,False,True,51.3,5175883,5059211,116672
Rita Hart,(D),Iowa,District 02 ,False,False,50.0,4232992,4114400,118592
Mariannette Miller-Meeks,(R),Iowa,District 02 ,False,True,50.0,2174194,1721926,452413
Cindy Axne,(D),Iowa,District 03 ,True,True,49.0,6236976,6236994,19521
David Young,(R),Iowa,District 03 ,False,False,47.6,3170072,3094582,88291
J.D. Scholten,(D),Iowa,District 04 ,False,False,62.1,2885915,2902003,53112
Randy Feenstra,(R),Iowa,District 04 ,False,True,37.9,1906234,1894288,11946
Tracey Mann,(R),Kansas,District 01 ,False,True,71.4,1403353,1127156,276197
Kali Barnett,(D),Kansas,District 01 ,False,False,28.6,603036,592924,10112
Michelle De La Isla,(D),Kansas,District 02 ,False,False,40.5,1825085,1810968,14118
Jake Laturner,(R),Kansas,District 02 ,False,True,55.3,1593407,1578460,14947
Sharice Davids,(D),Kansas,District 03 ,True,True,53.4,5638552,5168034,479150
Amanda Adkins,(R),Kansas,District 03 ,False,False,43.8,2182382,2139673,42710
Ron Estes,(R),Kansas,District 04 ,True,True,64.0,1993808,1420188,844164
Laura Lombard,(D),Kansas,District 04 ,False,False,36.0,264459,258684,5775
James Comer,(R),Kentucky,District 01 ,True,True,75.0,736116,502554,402463
Brett Guthrie,(R),Kentucky,District 02 ,True,True,71.0,1412797,1566622,1856674
Hank Linderman,(D),Kentucky,District 02 ,False,False,26.3,93388,71122,31482
Robert Lee Perry,(L),Kentucky,District 02 ,False,False,2.1,12798,7825,0
John Yarmuth,(D),Kentucky,District 03 ,True,True,62.7,658295,690226,169846
Rhonda Palazzo,(R),Kentucky,District 03 ,False,False,37.3,46144,45668,476
Thomas Massie,(R),Kentucky,District 04 ,True,True,67.1,1457316,1563275,119384
Alexandra Owensby,(D),Kentucky,District 04 ,False,False,32.9,156174,106359,49227
Hal Rogers,(R),Kentucky,District 05 ,True,True,84.2,664168,835781,836903
Andy Barr,(R),Kentucky,District 06 ,True,True,57.3,4536264,4316239,354703
Josh Hicks,(D),Kentucky,District 06 ,False,False,41.0,2936320,2935615,705
Steve Scalise,(R),Louisiana,District 01 ,True,True,72.2,37262827,32830607,6217720
Cedric Richmond,(D),Louisiana,District 02 ,True,True,63.6,1628289,1302079,795949
Clay Higgins,(R),Louisiana,District 03 ,True,True,67.8,751498,720424,71763
Robert Jon Anderson,(D),Louisiana,District 03 ,False,False,11.6,63617,48015,2695
Braylon Harris,(D),Louisiana,District 03 ,False,False,17.9,23006,15130,7876
Mike Johnson,(R),Louisiana,District 04 ,True,True,60.4,1299787,1039393,669686
Kenny Houston,(D),Louisiana,District 04 ,False,False,25.5,33677,33407,270
Luke Letlow,(R),Louisiana,District 05 ,False,False,,1392822,1303757,89065
Lance Harris,(R),Louisiana,District 05 ,False,False,,696805,687833,8972
Martin Lemelle,(D),Louisiana,District 05 ,False,False,,173796,162747,11048
Scotty Robinson,(R),Louisiana,District 05 ,False,False,,113903,113835,68
Candy Christophe,(D),Louisiana,District 05 ,False,False,,77101,131161,-51355
Phillip Snowden,(D),Louisiana,District 05 ,False,False,,29481,28077,1
Matthew Hasty,(R),Louisiana,District 05 ,False,False,,2654,2615,38
Garret Graves,(R),Louisiana,District 06 ,True,True,71.1,1743015,1200287,2026909
Dartanyon Williams,(D),Louisiana,District 06 ,False,False,25.6,111316,98114,8723
Chellie Pingree,(D),Maine,District 01 ,True,True,61.5,487080,264790,446658
Jay Allen,(R),Maine,District 01 ,False,False,38.5,79585,69853,9731
Jared Golden,(D),Maine,District 02 ,True,True,52.9,5272142,5233990,130861
Dale Crafts,(R),Maine,District 02 ,False,False,47.1,1199805,1196117,3689
Andy Harris,(R),Maryland,District 01 ,True,True,63.5,1468096,973953,1043179
Mia Mason,(D),Maryland,District 01 ,False,False,36.3,2524,0,0
Dutch Ruppersberger,(D),Maryland,District 02 ,True,True,67.2,1012835,927353,1204214
Johnny Ray Salling,(R),Maryland,District 02 ,False,False,32.6,68320,66895,1525
John Sarbanes,(D),Maryland,District 03 ,True,True,69.5,573599,687299,1036784
Charles Anthony,(R),Maryland,District 03 ,False,False,30.3,7798,6742,1006
Anthony Brown,(D),Maryland,District 04 ,True,True,79.3,1446636,846827,1117335
Steny H Hoyer,(D),Maryland,District 05 ,True,True,68.5,4587189,4342255,879067
Chris Palombi,(R),Maryland,District 05 ,False,False,31.2,43462,42095,1366
David Trone,(D),Maryland,District 06 ,True,True,57.9,2944893,2959748,93680
Neil Parrott,(R),Maryland,District 06 ,False,False,40.2,315936,261259,117161
Kweisi Mfume,(D),Maryland,District 07 ,True,True,71.6,1014126,713389,300737
Kimberly Klacik,(R),Maryland,District 07 ,False,False,28.1,8296845,7499454,803568
Amber Ivey,(I),Maryland,District 07 ,False,False,,41924,43394,0
Jamie Raskin,(D),Maryland,District 08 ,True,True,67.3,2072652,1399252,1338530
Gregory Coll,(R),Maryland,District 08 ,False,False,32.5,30876,27257,3618
Richard E Neal,(D),Massachusetts,District 01 ,True,True,96.5,4949384,5873122,2384564
James P McGovern,(D),Massachusetts,District 02 ,True,True,65.3,1052549,1089412,264946
Tracy Lovvorn,(R),Massachusetts,District 02 ,False,False,34.6,26311,22319,6398
Lori Trahan,(D),Massachusetts,District 03 ,True,True,97.7,1449303,1232437,285963
Jake Auchincloss,(D),Massachusetts,District 04 ,False,True,60.8,2608686,2150904,457782
Julie Hall,(R),Massachusetts,District 04 ,False,False,38.9,131603,129378,2225
Katherine Clark,(D),Massachusetts,District 05 ,True,True,74.3,1788706,1514877,1292775
Caroline Colarusso,(R),Massachusetts,District 05 ,False,False,25.6,148635,146972,1663
Seth Moulton,(D),Massachusetts,District 06 ,True,True,65.4,1289805,1802169,245668
John Paul Moran,(R),Massachusetts,District 06 ,False,False,34.4,300220,299104,1117
Ayanna Pressley,(D),Massachusetts,District 07 ,True,True,86.6,2163370,1748432,501037
Stephen Lynch,(D),Massachusetts,District 08 ,True,True,80.7,905614,1134662,1213384
Bill Keating,(D),Massachusetts,District 09 ,True,True,61.3,708680,652448,1504778
Helen Brady,(R),Massachusetts,District 09 ,False,False,36.3,28233,23735,4498
John Bergman,(R),Michigan,District 01 ,True,True,61.6,1868512,1733466,140400
Dana Ferguson,(D),Michigan,District 01 ,False,False,36.9,346213,339788,4287
Bill Huizenga,(R),Michigan,District 02 ,True,True,59.2,2175411,1883610,469697
Bryan Berghoef,(D),Michigan,District 02 ,False,False,38.2,751576,669864,19351
Jean-Michel Creviere,(3),Michigan,District 02 ,False,False,0.7,281,1207,-559
Hillary Scholten,(D),Michigan,District 03 ,False,False,47.0,3793132,3765942,27190
Peter Meijer,(R),Michigan,District 03 ,False,True,53.0,2975972,2887774,88199
John Moolenaar,(R),Michigan,District 04 ,True,True,65.0,1528612,1036160,611147
Jerry Hilliard,(D),Michigan,District 04 ,False,False,32.4,23117,23603,0
Dan Kildee,(D),Michigan,District 05 ,True,True,54.5,1669951,1504094,781722
Tim Kelly,(R),Michigan,District 05 ,False,False,41.7,71106,71106,0
Fred Upton,(R),Michigan,District 06 ,True,True,55.8,3616380,3464617,187875
Jon Hoadley,(D),Michigan,District 06 ,False,False,40.1,3116491,3098366,18125
Tim Walberg,(R),Michigan,District 07 ,True,True,58.8,2301635,1586358,769368
Gretchen Driskell,(D),Michigan,District 07 ,False,False,41.3,1712840,1712840,0
Elissa Slotkin,(D),Michigan,District 08 ,True,True,50.9,8967420,7419974,1566680
Paul Junge,(R),Michigan,District 08 ,False,False,47.3,2107608,2097131,10477
Andy Levin,(D),Michigan,District 09 ,True,True,57.8,1316607,907237,428478
Lisa McClain,(R),Michigan,District 10 ,False,True,66.3,2266287,2137031,123256
Kimberly Bizon,(D),Michigan,District 10 ,False,False,33.7,41438,41246,24582
Haley Stevens,(D),Michigan,District 11 ,True,True,50.2,5776924,5707448,84994
Eric Esshaki,(R),Michigan,District 11 ,False,False,47.8,1298612,1291509,7104
Debbie Dingell,(D),Michigan,District 12 ,True,True,66.4,1630498,1689582,437383
Jeff Jones,(R),Michigan,District 12 ,False,False,30.7,10616,9657,1513
Rashida Tlaib,(D),Michigan,District 13 ,True,True,77.9,4014411,3690334,391732
Donald Eason,(I),Michigan,District 13 ,False,False,,34156,34156,0
Brenda Lawrence,(D),Michigan,District 14 ,True,True,78.9,1084662,789570,891186
Vance Patrick,(R),Michigan,District 14 ,False,False,18.7,39670,41973,8890
Jim Hagedorn,(R),Minnesota,District 01 ,True,True,48.6,2386033,2305994,81131
Daniel Feehan,(D),Minnesota,District 01 ,False,False,45.5,4861651,4863835,1337
Angie Craig,(D),Minnesota,District 02 ,True,True,48.2,5380101,4435492,1032000
Tyler Kistner,(R),Minnesota,District 02 ,False,False,45.9,2990054,2956042,34012
Dean Phillips,(D),Minnesota,District 03 ,True,True,55.6,2328616,2152031,218067
Kendall Qualls,(R),Minnesota,District 03 ,False,False,44.3,1863927,1751214,112712
Gary Heyer,(I),Minnesota,District 03 ,False,False,,827,827,0
Betty McCollum,(D),Minnesota,District 04 ,True,True,63.2,1171748,994072,283976
Gene Rechtzigel,(R),Minnesota,District 04 ,False,False,29.0,20075,20075,100
Ilhan Omar,(D),Minnesota,District 05 ,True,True,64.3,5718517,5605576,167770
Lacy Johnson,(R),Minnesota,District 05 ,False,False,25.8,12050564,12000896,49668
Chris Kelley,(3),Minnesota,District 05 ,False,False,,249583,249583,0
Ervan Katari Miller,(I),Minnesota,District 05 ,False,False,,255,187,68
Tom Emmer,(R),Minnesota,District 06 ,True,True,65.5,2804265,2537612,448839
Tawnja Zahradka,(D),Minnesota,District 06 ,False,False,34.3,49242,49214,28
Collin Peterson,(D),Minnesota,District 07 ,True,False,39.9,2714012,2867577,344745
Michelle Fischbach,(R),Minnesota,District 07 ,False,True,53.4,2618450,2580501,37949
Pete Stauber,(R),Minnesota,District 08 ,True,True,56.7,2593190,2608759,2767
Quinn Nystrom,(D),Minnesota,District 08 ,False,False,37.6,1530606,1527005,3600
Trent Kelly,(R),Mississippi,District 01 ,True,True,68.7,876882,826673,228295
Antonia Eliason,(D),Mississippi,District 01 ,False,False,31.3,22281,18174,4107
Bennie G Thompson,(D),Mississippi,District 02 ,True,True,66.0,1377392,1096904,1523548
Michael Guest,(R),Mississippi,District 03 ,True,True,64.7,766807,518162,281968
Steven Palazzo,(R),Mississippi,District 04 ,True,True,100.0,817129,747217,302029
Cori Bush,(D),Missouri,District 01 ,False,True,78.8,1418014,1333512,84503
Ann Wagner,(R),Missouri,District 02 ,True,True,52.0,5598287,6513101,113443
Jill Schupp,(D),Missouri,District 02 ,False,False,45.4,4850948,4830434,20513
Blaine Luetkemeyer,(R),Missouri,District 03 ,True,True,69.4,2022905,2081391,2205404
Vicky Hartzler,(R),Missouri,District 04 ,True,True,67.6,1700978,1335607,645432
Lindsey Simmons,(D),Missouri,District 04 ,False,False,29.7,395934,384622,11282
Emanuel Cleaver,(D),Missouri,District 05 ,True,True,58.5,1393847,928061,1134774
Ryan Derks,(R),Missouri,District 05 ,False,False,38.7,76488,76488,0
Sam Graves,(R),Missouri,District 06 ,True,True,67.1,1959516,1654756,856973
Gena Ross,(D),Missouri,District 06 ,False,False,30.8,10170,10530,1836
Billy Long,(R),Missouri,District 07 ,True,True,68.7,1320420,1518234,475111
Audrey Richards,(I),Missouri,District 07 ,False,False,,7985,8113,-624
Jason Smith,(R),Missouri,District 08 ,True,True,76.9,1900227,1514786,1531680
Kathryn Ellis,(D),Missouri,District 08 ,False,False,21.4,302428,305387,0
Kathleen Williams,(D),Montana,District 01 ,False,False,43.6,6201758,6232286,6430
Matt Rosendale,(R),Montana,District 01 ,False,True,56.4,3674706,3488045,262839
Jeff Fortenberry,(R),Nebraska,District 01 ,True,True,59.5,1472816,2458330,718435
Kate Bolz,(D),Nebraska,District 01 ,False,False,37.7,1143509,1140371,3139
Don Bacon,(R),Nebraska,District 02 ,True,True,50.6,3749272,3713961,85039
Kara Eastman,(D),Nebraska,District 02 ,False,False,46.3,4414390,4468006,29232
Adrian Smith,(R),Nebraska,District 03 ,True,True,78.5,1506473,1148409,1145643
Mark Elworth Jr,(D),Nebraska,District 03 ,False,False,17.7,255,0,255
Dina Titus,(D),Nevada,District 01 ,True,True,61.8,706193,587919,328890
Mark Amodei,(R),Nevada,District 02 ,True,True,56.5,1048056,1016673,324316
Patricia Ackerman,(D),Nevada,District 02 ,False,False,40.7,449363,449449,44
Susie Lee,(D),Nevada,District 03 ,True,True,48.8,4748019,4732009,28704
Dan Rodimer,(R),Nevada,District 03 ,False,False,45.8,2936059,2915216,20842
Steven Horsford,(D),Nevada,District 04 ,True,True,50.7,3492372,3024427,495917
Jim Marchant,(R),Nevada,District 04 ,False,False,45.8,1462772,1419405,43367
Jonathan Royce Esteban,(L),Nevada,District 04 ,False,False,2.4,2788,1603,2227
Chris Pappas,(D),New,Hampshire District 01 ,True,True,51.3,3205731,3105663,213912
Matt Mowers,(R),New,Hampshire District 01 ,False,False,46.2,1707214,1698761,8454
Ann Kuster,(D),New,Hampshire District 02 ,True,True,53.9,2960033,2970274,1073085
Steve Negron,(R),New,Hampshire District 02 ,False,False,43.7,368177,378959,-3787
Don Norcross,(D),New,Jersey District 01 ,True,True,62.5,2221989,1087264,1924664
Claire Gustafson,(R),New,Jersey District 01 ,False,False,37.5,36520,21761,14759
Jeff Van Drew,(R),New,Jersey District 02 ,True,True,51.9,4229171,4041493,191878
Amy Kennedy,(D),New,Jersey District 02 ,False,False,46.2,4984376,4978913,5463
Andy Kim,(D),New,Jersey District 03 ,True,True,53.2,7241283,6753262,551835
David Richter,(R),New,Jersey District 03 ,False,False,45.5,1473669,1470648,3021
Chris Smith,(R),New,Jersey District 04 ,True,True,59.9,1383085,1284522,141574
Stephanie Schmid,(D),New,Jersey District 04 ,False,False,38.3,699580,658011,19121
Josh Gottheimer,(D),New,Jersey District 05 ,True,True,53.2,7694027,3487964,8349098
Frank Pallotta,(R),New,Jersey District 05 ,False,False,45.6,1972033,1948705,23328
Louis A. Vellucci,(I),New,Jersey District 05 ,False,False,1.2,5456,5342,114
Frank Pallone Jr.,(D),New,Jersey District 06 ,True,True,61.2,3231755,2021737,3337596
Tom Malinowski,(D),New,Jersey District 07 ,True,True,50.6,7414403,7423758,51095
Tom Kean,(R),New,Jersey District 07 ,False,False,49.4,3869121,3775442,93679
Albio Sires,(D),New,Jersey District 08 ,True,True,74.0,605810,551325,208334
Bill Pascrell Jr.,(D),New,Jersey District 09 ,True,True,65.8,1560550,1795410,1404384
Billy Prempeh,(R),New,Jersey District 09 ,False,False,31.9,44269,35075,12957
Donald M Payne Jr.,(D),New,Jersey District 10 ,True,True,83.3,593735,457252,181272
Mikie Sherrill,(D),New,Jersey District 11 ,True,True,53.3,6419707,3733106,3131721
Rosemary Becchi,(R),New,Jersey District 11 ,False,False,46.7,1687532,1686236,1295
Bonnie Watson Coleman,(D),New,Jersey District 12 ,True,True,65.6,798439,840651,107160
Mark Razzoli,(R),New,Jersey District 12 ,False,False,32.6,3065,1142,1923
Debra Haaland,(D),New,Mexico District 01 ,True,True,58.1,2246734,1875766,390843
Michelle Garcia Holmes,(R),New,Mexico District 01 ,False,False,41.9,257294,245590,11705
Xochitl Torres Small,(D),New,Mexico District 02 ,True,False,46.3,8387337,8539065,16718
Yvette Herrell,(R),New,Mexico District 02 ,False,True,53.7,2805711,2921785,54544
Steve Jones,(I),New,Mexico District 02 ,False,False,,9405,9505,-100
Teresa Leger Fernandez,(D),New,Mexico District 03 ,False,True,58.7,2296594,2132010,164583
Alexis Johnson,(R),New,Mexico District 03 ,False,False,41.3,147303,147303,0
Lee Zeldin,(R),New,York District 01 ,True,True,55.9,8396981,8250116,171436
Nancy Goroff,(D),New,York District 01 ,False,False,44.1,7866239,7860977,5262
Jackie Gordon,(D),New,York District 02 ,False,False,46.0,4351881,4334484,17396
