Candidate,Party,State,District,Incumbent,Winner,Percentage of Vote,Raised,Spent,Funds Remaining
Chris Stewart,(R),Utah,District 02 ,True,True,59.0,835139,812462,164694
John Kael Weston,(D),Utah,District 02 ,False,False,36.6,344774,306872,37905
Joe Jarvis,(3),Utah,District 02 ,False,False,,22989,22989,0
John Curtis,(R),Utah,District 03 ,True,True,68.8,874311,687265,351305
Devin Thorpe,(D),Utah,District 03 ,False,False,26.8,191412,190200,1211
Thomas G. McNeill,(3),Utah,District 03 ,False,False,2.0,5516,5516,0
Russel Fugal,(I),Utah,District 03 ,False,False,,393,346,46
Ben McAdams,(D),Utah,District 04 ,True,False,46.7,5613542,5555591,136323
Burgess Owens,(R),Utah,District 04 ,False,True,47.7,5129475,5049146,80329
Jonia Broderick,(3),Utah,District 04 ,False,False,2.1,21394,21265,1002
Peter Welch,(D),Vermont,District 01 ,True,True,64.4,847320,865252,2107307
Rob Wittman,(R),Virginia,District 01 ,True,True,58.5,1969785,2140375,187331
Qasim Rashid,(D),Virginia,District 01 ,False,False,41.7,1559108,1559108,0
Elaine Luria,(D),Virginia,District 02 ,True,True,51.6,6522276,6387474,142175
Scott Taylor,(R),Virginia,District 02 ,False,False,45.8,2452292,2446410,22613
Bobby Scott,(D),Virginia,District 03 ,True,True,68.4,873126,832419,212393
John Collick,(R),Virginia,District 03 ,False,False,31.4,167146,165080,2189
Donald McEachin,(D),Virginia,District 04 ,True,True,61.6,961412,963788,209132
Leon Benjamin,(R),Virginia,District 04 ,False,False,38.2,545354,523429,21925
Cameron Webb,(D),Virginia,District 05 ,False,False,47.3,5755917,5750924,4993
Bob Good,(R),Virginia,District 05 ,False,True,52.4,1373867,1323530,50336
Ben Cline,(R),Virginia,District 06 ,True,True,64.6,892955,672928,238774
Nicholas Betts,(D),Virginia,District 06 ,False,False,35.3,56190,54205,0
Abigail Spanberger,(D),Virginia,District 07 ,True,True,50.8,8387680,7852213,582133
Nick Freitas,(R),Virginia,District 07 ,False,False,49.0,3629431,3600108,29323
Don Beyer,(D),Virginia,District 08 ,True,True,75.8,1729482,2071906,640022
Jeff Jordan,(R),Virginia,District 08 ,False,False,24.0,96035,96035,0
Heerak Christian Kim,(I),Virginia,District 08 ,False,False,,2036,1921,114
Morgan Griffith,(R),Virginia,District 09 ,True,True,94.0,873612,463916,421442
Jennifer Wexton,(D),Virginia,District 10 ,True,True,56.5,3855331,1772250,2140698
Aliscia Andrews,(R),Virginia,District 10 ,False,False,43.4,1567598,1413145,158052
Gerry Connolly,(D),Virginia,District 11 ,True,True,71.4,1998592,1811776,2891921
Manga Anantatmula,(R),Virginia,District 11 ,False,False,28.3,282152,268326,13826
Stevan Porter,(L),Virginia,District 11 ,False,False,,533,1316,149
Suzan DelBene,(D),Washington,District 01 ,True,True,58.6,2182985,1897162,1339118
